
Subcategorías detectadas en [Carnes]: 168
 - Pescadería | Pavo molido y picado -> https://www.unimarc.cl/category/carnes/pavo/pavo-molido-y-picado
 - Pescadería | Pavo entero -> https://www.unimarc.cl/category/carnes/pavo/pavo-entero
 - Pescadería | Trutros y otros -> https://www.unimarc.cl/category/carnes/pavo/trutros-y-otros
 - Pescadería | Cordero y otros -> https://www.unimarc.cl/category/carnes/cordero-y-otros
 - Pescadería | Cordero -> https://www.unimarc.cl/category/carnes/cordero-y-otros/cordero
 - Pescadería | Otros -> https://www.unimarc.cl/category/carnes/cordero-y-otros/otros
 - Pescadería | Pescadería -> https://www.unimarc.cl/category/carnes/pescaderia

Scrape: [Vacuno] Vacuno
  productos únicos: 100

Scrape: [Vacuno] Molida, bistec y otros
  productos únicos: 24

Scrape: [Vacuno] Huesos y otros
  productos únicos: 2

Scrape: [Vacuno] Filete y lomo
  productos únicos: 9

Scrape: [Vacuno] Parrilleros
  productos únicos: 24

Scrape: [Vacuno] Otros cortes
  productos únicos: 28

Scrape: [Vacuno] Vacuno premium
  productos únicos: 68

Scrape: [Vacuno] Pollo
  productos únicos: 88

Scrape: [Vacuno] Pechugas y filetitos
  productos únicos: 42

Scrape: [Vacuno] Trutro
  productos únicos: 38

Scrape: [Vacuno] Saborizados
  productos únicos: 6

Scrape: [Vacuno] Pollo entero
  productos únicos: 2

Scrape: [Vacuno] Cerdo
  productos únicos: 53

Scrape: [Vacuno] Costillas y costillar
  productos únicos: 15

Scrape: [Vacuno] Malaya y plateada
  productos únicos: 8

Scrape: [Vacuno] Chuleta
  productos únicos: 8

Scrape: [Vacuno] Lomo cerdo
  productos únicos: 8

Scrape: [Vacuno] Pulpa cerdo
  productos únicos: 9

Scrape: [Vacuno] Otros cortes
  productos únicos: 5

Scrape: [Vacuno] Pavo
  productos únicos: 8

Scrape: [Vacuno] Pechuga y filete
  productos únicos: 2

Scrape: [Vacuno] Pavo molido y picado
  productos únicos: 2

Scrape: [Vacuno] Pavo entero
  productos únicos: 1

Scrape: [Vacuno] Trutros y otros
  productos únicos: 3

Scrape: [Vacuno] Cordero y otros
  productos únicos: 4

Scrape: [Vacuno] Cordero
  productos únicos: 4

Scrape: [Vacuno] Otros
  productos únicos: 0

Scrape: [Vacuno] Pescadería
  productos únicos: 0

Scrape: [Pollo] Vacuno
  productos únicos: 100

Scrape: [Pollo] Molida, bistec y otros
  productos únicos: 24

Scrape: [Pollo] Huesos y otros
  productos únicos: 2

Scrape: [Pollo] Filete y lomo
  productos únicos: 9

Scrape: [Pollo] Parrilleros
  productos únicos: 24

Scrape: [Pollo] Otros cortes
  productos únicos: 28

Scrape: [Pollo] Vacuno premium
  productos únicos: 68

Scrape: [Pollo] Pollo
  productos únicos: 88

Scrape: [Pollo] Pechugas y filetitos
  productos únicos: 42

Scrape: [Pollo] Trutro
  productos únicos: 38

Scrape: [Pollo] Saborizados
  productos únicos: 6

Scrape: [Pollo] Pollo entero
  productos únicos: 2

Scrape: [Pollo] Cerdo
  productos únicos: 53

