cba_name;supermarket;formato_objetivo;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Plátano;jumbo;1 kg granel;154007;Plátano Orgánico 1 kg;Frutas y Verduras Propias;1890.0;1890.0;1890.0;;;;mass;1000.0;;;1.89;;;Frutas (Mostrar todo);9.5;https://www.jumbo.cl/platano-organico-1-kg-2042981/p
Plátano;unimarc;1 kg granel;9720;Plátano granel 500 g;Frutas Y Verduras;745.0;745.0;745.0;;Kg;500 g;mass;500.0;;;1.49;;Frutas y verduras congeladas;Frutas;9.5;https://www.unimarc.cl/platano-kg/p
Pollo entero;jumbo;1.5 kg a 3 kg;106519;Salchichas Pollo Winter 1 kg;Winter;3990.0;3990.0;3990.0;;;;mass;1000.0;;;3.99;;;Salchichas;6.5;https://www.jumbo.cl/salchicha-pollo-winter-1kg-1898637/p
Pollo entero;lider;1.5 kg a 3 kg;dom_23;Salchicha pollo 20 Un, 1 kg;;3990.0;3990.0;3990.0;;;;mass;1000.0;;;3.99;;Para Parrilla > Salchichas;;6.5;https://super.lider.cl/ip/todas-las-carnes/00780190701041
Pollo entero;unimarc;1.5 kg a 3 kg;4180;Salchicha de pollo San Jorge 20 un 1 Kg;San Jorge;3990.0;3990.0;3590.0;35900.0;Kg;1 un;mass;1000.0;;;3.99;;Fiambres y embutidos;Salchichas;6.5;https://www.unimarc.cl/vienesa-pollo-san-jorge-1kg/p
Queso crema;jumbo;100 g a 300 g;84334;Queso Crema Cuisine & Co Envasado 226 g;Cuisine & Co;3190.0;3190.0;3190.0;;;;mass;226.0;;;14.11504424778761;;;Quesos (Mostrar todo);6.0;https://www.jumbo.cl/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p
Queso crema;lider;100 g a 300 g;dom_9;Queso Crema Natural, 200 g;;6450.0;6450.0;200.0;;;;mass;200.0;;;32.25;;Quesos > Untable y Fundido;;6.0;https://super.lider.cl/ip/quesos/00780290000126
Queso crema;unimarc;100 g a 300 g;396;Queso crema Soprole sabor natural 100 g;Soprole;840.0;840.0;840.0;7300.0;Kg;1 un;mass;100.0;;;8.4;;Quesos;Queso crema y untables;6.0;https://www.unimarc.cl/queso-crema-natural-soprole-100-g/p
Queso gouda;unimarc;150 g a 500 g;90828;Queso gouda Surlat laminado sin lactosa 200 g;Surlat;3550.0;3550.0;3550.0;;Kg;1 un;mass;200.0;;;17.75;;Quesos;Gauda y ranco;6.0;https://www.unimarc.cl/queso-gouda-lam-s-lactosa-surlat-200gr/p
Salsa de tomate;jumbo;200 g a 500 g;83586;Salsa de Tomate Cuisine & Co Natural 200 g;Cuisine & Co;690.0;690.0;690.0;;;;mass;200.0;;;3.45;;;Fideos, Pastas y Salsas (Mostrar todo);6.0;https://www.jumbo.cl/salsa-de-tomate-natural-200-g-cuisine-and-co-1801326/p
Salsa de tomate;lider;200 g a 500 g;dom_27;Salsa de Tomate Italiana Doypack, 200 g;;2950.0;2950.0;590.0;;;;mass;200.0;;;14.75;;Pastas y Salsas > Salsa para pastas;;6.0;https://super.lider.cl/ip/pastas-y-salsas/00780180010101
Salsa de tomate;unimarc;200 g a 500 g;86430;Salsa de tomate italiana merkat doypack 200g;Merkat;380.0;380.0;380.0;;Kg;1 un;mass;200.0;;;1.9;;Fideos, pastas y salsas;Salsa para pastas;6.0;https://www.unimarc.cl/salsa-tomate-italiana-merkat-dp-200-gr/p
Tomate;jumbo;500 g a 1 kg;145969;Bistec de Pechuga de Pavo Ariztía Tomate Albahaca 450 g;Ariztía;6290.0;6290.0;6290.0;;;;mass;450.0;;;13.977777777777778;;;Filetes y Pechugas de Pavo;7.7;https://www.jumbo.cl/bistec-pech-pavo-tom-albah-ariztia-450g-2020914/p
Tomate;lider;500 g a 1 kg;dom_9;Tomate Triple Tasty Cocktail Pote, 500 gr;;4190.0;4190.0;4190.0;;;;mass;500.0;;;8.38;;Verduras > Tomates;;8.0;https://super.lider.cl/ip/verduras/00780460076027
Tomate;unimarc;500 g a 1 kg;324;Tomate larga vida granel 500 g;Frutas Y Verduras;975.0;975.0;975.0;;Kg;500 g;mass;500.0;;;1.95;;Verduras;Verduras;8.0;https://www.unimarc.cl/tomate-1-kg-5-u-aprox/p
Trutro de pollo;jumbo;1 kg;82330;Trutro Largo de Pollo Sin Marinar 1 kg;Cuisine & Co;6890.0;6890.0;6890.0;;;;mass;1000.0;;;6.89;;;Alitas y Trutros de Pollo;10.5;https://www.jumbo.cl/trutro-largo-de-pollo-1-kg-cuisine-and-co-1801135/p
Trutro de pollo;lider;1 kg;dom_32;Pollo Trutro Corto Sin Marinar Envasado, 1 kg;;3990.0;3990.0;200.0;;;;mass;1000.0;;;3.99;;Pollo > Trutro de Pollo;;10.5;https://super.lider.cl/ip/pollo/00789151555261
Trutro de pollo;unimarc;1 kg;92363;Trutro cuarto de pollo Ariztía granel 1 Kg;Ariztia;3190.0;3190.0;3190.0;36000.0;Kg;1 kg;mass;1000.0;;;3.19;;Pollo;Trutro;12.0;https://www.unimarc.cl/trutro-cuarto-de-pollo-ariztia-kg/p
Yogurt;jumbo;100 g a 1 kg yogurt tradicional;6953;Yogurt Batido Calán Semidescremado Frutilla 110 g;Calan;220.0;220.0;220.0;;;;mass;110.0;;;2.0;;;Yoghurt Batido;6.5;https://www.jumbo.cl/yoghurt-batido-calan-semidescremado-sabor-frutilla-120-g-2/p
Zanahoria;jumbo;1 kg;5832;Zanahoria Bolsa 1 kg;Frutas y Verduras Propias;1350.0;1350.0;1350.0;;;;mass;1000.0;;;1.35;;;Verduras (Mostrar todo);8.0;https://www.jumbo.cl/zanahoria-jumbo-1-kg/p
Zanahoria;lider;1 kg;dom_4;Zanahoria Jugo Bolsa, 1 Kg;;1190.0;1190.0;1190.0;;;;mass;1000.0;;;1.19;;Verduras > Zapallos y Zanahorias;;8.0;https://super.lider.cl/ip/verduras/00780464080073
Zanahoria;unimarc;1 kg;1418;Zanahoria de jugo bolsa 1 Kg;Frutas Y Verduras;1190.0;1190.0;1190.0;9900.0;Kg;1 un;mass;1000.0;;;1.19;;Verduras;Verduras;8.0;https://www.unimarc.cl/zanahoria-jugo-bolsa-1-kg/p
