cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;match_score;detail_url
Azúcar;1 kg;jumbo;65504;Azúcar Rubia Cuisine & Co 1 kg;Cuisine & Co;2380.0;2380.0;1890.0;;;;mass;1000.0;;;2.38;;;Azúcar;8.0;https://www.jumbo.cl/azucar-rubia-1-kg-cuisine-and-co-1755906/p
Azúcar;1 kg;jumbo;150401;Azúcar Specia Rubia 1 kg;Specia;2790.0;2790.0;2790.0;;;;mass;1000.0;;;2.79;;;Azúcar;8.0;https://www.jumbo.cl/azucar-rubia-1kg-2039927/p
Azúcar;1 kg;lider;dom_1;Azúcar Blanca Granulada Bolsa, 1 kg;;1000.0;1000.0;1000.0;;;;mass;1000.0;;;1.0;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780150500049
Azúcar;1 kg;lider;dom_3;Azúcar Blanca Granulada Bolsa, 1 Kg;;1390.0;1390.0;1264.0;;;;mass;1000.0;;;1.39;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780150523191
Azúcar;1 kg;lider;dom_25;Azúcar Blanca Granulada Bolsa, 1 kg;;2000.0;2000.0;1290.0;;;;mass;1000.0;;;2.0;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00789191003057
Azúcar;1 kg;lider;dom_12;Azúcar Rubia Granulada Bolsa, 1 kg;;2250.0;2250.0;2250.0;;;;mass;1000.0;;;2.25;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780462778019
Azúcar;1 kg;lider;dom_13;Azúcar Rubia Granulada Bolsa, 1 Kg;;2590.0;2590.0;400.0;;;;mass;1000.0;;;2.59;;Dulces Mermeladas y Manjar > Azúcar;;8.0;https://super.lider.cl/ip/dulces-mermeladas-y-manjar/00780465534250
Leche líquida entera;1 litro;jumbo;134465;Leche Surlat Entera 1 L;Surlat;1050.0;1050.0;1050.0;;;;volume;1000.0;;;1.05;;;Leches (Mostrar todo);10.5;https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p
Leche líquida entera;1 litro;jumbo;134465;Leche Surlat Entera 1 L;Surlat;1050.0;1050.0;1050.0;;;;volume;1000.0;;;1.05;;;Leche Líquida;10.5;https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p
Leche líquida entera;1 litro;jumbo;6609;Leche Colun Entera 1 L;Colun;1350.0;1350.0;1350.0;;;;volume;1000.0;;;1.35;;;Leches (Mostrar todo);10.5;https://www.jumbo.cl/leche-entera-colun-caja-1-l-natural/p
