group_id;producto_referencia;marca_referencia;category_std;unit_family;size_std;supermercado_mas_barato;precio_mas_barato;cantidad_opciones_comparadas;supermercados_presentes
2401;Desodorante spray Lady Speed Stick 24/7 powder fresh 91 g;Lady Speed Stick;;;;unimarc;2895.0;2;jumbo, unimarc
2536;Desodorante Antitranspirante En Gel Secret Powder Protect Cotton, 45 g;;;;;lider;990.0;2;jumbo, lider
2605;Desodorante para Pies Curitas Fresh Active 2 en 1 - 150 ml;Curitas;;;;jumbo;6790.0;4;jumbo, unimarc
2629;Crema corporal Nivea soft milk piel seca 250 ml;Nivea;;;;unimarc;6650.0;2;jumbo, unimarc
2635;Crema Corporal Lubriderm Humectación Diaria 200 ml;Lubriderm;;;;jumbo;5390.0;2;jumbo, unimarc
2639;Crema Corporal Nivea Hidratación Express 1000 ml;Nivea;;;;jumbo;8290.0;2;jumbo, unimarc
2679;Crema Corporal Lubriderm Reparación Intensiva 750 ml;Lubriderm;;;;jumbo;8490.0;3;jumbo, unimarc
2687;Crema corporal Nivea Q10 reafirmante  1 L;Nivea;;;;unimarc;9450.0;3;jumbo, unimarc
2697;Crema Corporal Nivea Regeneración Intensiva 400 ml;Nivea;;;;jumbo;8990.0;4;jumbo, unimarc
2860;Jabón Íntimo Nosotras Sensitiv 200 ml;Nosotras;;;;jumbo;3990.0;3;jumbo, unimarc
3291;Crema Facial Nivea Rose Care Gel 50 ml;Nivea;;;;jumbo;5990.0;3;jumbo, unimarc
3338;Corrector de Ojeras Maybelline Nude 6 ml;Maybelline;;;;jumbo;8050.0;2;jumbo, unimarc
3726;Espuma de Afeitar Gillette Sensitive 150 ml;Gillette;;;;jumbo;4922.0;2;jumbo, unimarc
4528;Aceite de Oliva Banquete Extra Virgen 500 ml;Banquete;;;;jumbo;8990.0;2;jumbo, unimarc
4599;Vinagre manzana Traverso 500 ml;Traverso;;;;unimarc;2250.0;2;jumbo, unimarc
4603;Sucedáneo Jugo Limón Traverso 1 L;Traverso;;;;jumbo;1950.0;2;jumbo, unimarc
4606;Vinagre vino blanco Traverso 500 ml;Traverso;;;;unimarc;1190.0;2;jumbo, unimarc
4618;Sucedáneo jugo de limón Traverso 500 ml;Traverso;;;;unimarc;1000.0;4;jumbo, unimarc
4632;Aceite de oliva Chef extra virgen 500 ml;Chef;;;;unimarc;8000.0;3;jumbo, unimarc
4639;Aceite de Oliva Huasco Extra Virgen 500 ml;Huasco;;;;jumbo;8290.0;3;jumbo, unimarc
4650;Vinagre de Vino Blanco Traverso 1 L;Traverso;;;;jumbo;1832.0;3;jumbo, unimarc
4651;Aceite de Oliva Banquete Extra Virgen 250 ml;Banquete;;;;jumbo;5550.0;3;jumbo, unimarc
4656;Vinagre incoloro Traverso 500 ml;Traverso;;;;unimarc;1000.0;3;jumbo, unimarc
4829;Salsa soya Kikkoman 591 ml;Kikkoman;;;;unimarc;7990.0;2;jumbo, unimarc
5405;Endulzante líquido Daily gotas stevia 270 ml;Daily;;;;unimarc;3420.0;2;jumbo, unimarc
5654;Cereal Natur Arroz, 300 g;;;;;lider;2550.0;2;jumbo, lider
5829;Cereal Natur Maíz, 300 g;;;;;lider;2550.0;3;jumbo, lider
7820;Leche Cultivada Soprole Vainilla 1 L;Soprole;;;;jumbo;2490.0;3;jumbo, unimarc
7822;Leche cultivada Soprole sin lactosa frutilla 1 L Leche cultivada sin lactosa Soprole Zerolacto sabor frutilla botella 1 L;Soprole;;;;unimarc;2590.0;3;jumbo, unimarc
7830;Leche cultivada Soprole sin lactosa chirimoya 1 L Leche cultivada sin lactosa Soprole Zerolacto sabor chirimoya botella 1 L;Soprole;;;;unimarc;2590.0;2;jumbo, unimarc
7927;Postre Chandelle Crema Sin lactosa Manjar, 120 g;;;;;lider;850.0;3;jumbo, lider
8424;Bebida Vegetal Notmilk Chocolate, 1 L;;;;;lider;2950.0;2;jumbo, lider
8518;Helado Savory chocolate suizo y frutos del bosque 1 L;Savory;;;;unimarc;2890.0;2;jumbo, unimarc
8519;Helado Savory chocolate suizo cassata 1 L;Savory;;;;unimarc;2890.0;2;jumbo, unimarc
8521;Helado Savory chocolate lúcuma 1 L;Savory;;;;unimarc;3690.0;2;jumbo, unimarc
8529;Helado Bresler Cremissimo Costa Rama 900 ml;Bresler;;;;jumbo;5390.0;2;jumbo, unimarc
8544;Helado Bresler Cremissimo Orly Berries 900 ml;Bresler;;;;jumbo;5390.0;2;jumbo, unimarc
8546;Helado Trendy suspiros crema frambuesa 1 L;Trendy;;;;unimarc;4090.0;2;jumbo, unimarc
8547;Helado Bresler cassata chocolate frutilla y vainilla 1 L;Bresler;;;;unimarc;3450.0;2;jumbo, unimarc
8551;Helado Bresler Cremissimo Mecano 900 ml;Bresler;;;;jumbo;5390.0;2;jumbo, unimarc
8585;Helado La Cremería crunchy 3 leches 1 L;La Cremeria;;;;unimarc;5190.0;2;jumbo, unimarc
8609;Helado Yogen Früz Chocolate Naranja 800 cc;Yogen Früz;;;;jumbo;6990.0;2;jumbo, unimarc
8611;Helado Yogen Früz Mango Maracuyá 800 ml;Yogen Früz;;;;jumbo;6990.0;2;jumbo, unimarc
8617;Helado Yogen Früz Frambuesa 800 ml;Yogen Früz;;;;jumbo;6990.0;2;jumbo, unimarc
9186;Vino Tarapacá gran reserva carménère 750 cc;Gran Tarapaca;;;;unimarc;8490.0;2;jumbo, unimarc
9206;Vino Castillo de Molina Red Blend 750 cc;Castillo de Molina;;;;jumbo;7290.0;2;jumbo, unimarc
9247;Vino Carmen Frida Kahlo gran reserva carmenere 750 cc;Carmen;;;;unimarc;6790.0;2;jumbo, unimarc
9266;Vino Misiones de Rengo Sauvignon Blanc 750 cc;Misiones de Rengo;;;;jumbo;3190.0;2;jumbo, unimarc
9268;Vino Casas del Bosque Gran Reserva Sauvignon Blanc 750 cc;Casas del Bosque;;;;jumbo;8990.0;3;jumbo, unimarc
