idx_1;idx_2;supermarket_1;supermarket_2;name_1;name_2;brand_1;brand_2;price_1;price_2;size_std_1;size_std_2;unit_family;category_std;text_similarity;brand_score;final_score
9994;14093;jumbo;unimarc;Jugo en Polvo Livean Frutilla 7 g;Jugo en polvo Livean frutilla rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
9995;14097;jumbo;unimarc;Jugo en Polvo Livean Naranja 7 g;Jugo en polvo Livean naranja rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
9997;14099;jumbo;unimarc;Jugo en Polvo Livean Durazno 7 g;Jugo en polvo Livean durazno rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
9998;14104;jumbo;unimarc;Jugo en Polvo Livean Maracuyá 7 g;Jugo en polvo Livean maracuyá rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7487;1.0;0.8116
10135;14092;jumbo;unimarc;Jugo en Polvo Livean Piña 7 g;Jugo en polvo Livean piña rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7175;1.0;0.7881
10137;14094;jumbo;unimarc;Jugo en Polvo Livean Berries 7 g;Jugo en polvo Livean berries rinde 1 L;Livean;Livean;290.0;290.0;;;;;0.7175;1.0;0.7881
9980;14118;jumbo;unimarc;Jugo en Polvo Vivo Manzana 7 g;Jugo en polvo Vivo manzana rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7521;1.0;0.8141
9981;14109;jumbo;unimarc;Jugo en Polvo Vivo Piña 7 g;Jugo en polvo Vivo piña rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7521;1.0;0.8141
9983;14114;jumbo;unimarc;Jugo en Polvo Vivo Frutilla 7 g;Jugo en polvo Vivo frutilla rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.737;1.0;0.8028
9984;14113;jumbo;unimarc;Jugo en Polvo Vivo Naranja 7 g;Jugo en polvo Vivo naranja rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7199;1.0;0.7899
9992;14119;jumbo;unimarc;Jugo en Polvo Vivo Mango 7 g;Jugo en polvo Vivo mango rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7521;1.0;0.8141
10003;14125;jumbo;unimarc;Jugo en Polvo Vivo Papaya 7 g;Jugo en polvo Vivo papaya rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7521;1.0;0.8141
10007;14127;jumbo;unimarc;Jugo en Polvo Vivo Durazno 7 g;Jugo en polvo Vivo durazno rinde 1 L;Vivo;Vivo;290.0;290.0;;;;;0.7199;1.0;0.7899
9999;14102;jumbo;unimarc;Jugo en Polvo Zuko Naranja Plátano 15 g;Jugo en polvo Zuko naranja plátano rinde 1 L;Zuko;Zuko;280.0;280.0;;;;;0.6793;1.0;0.7595
10012;14111;jumbo;unimarc;Jugo en Polvo Zuko Limón Dulce 15 g;Jugo en polvo Zuko limón dulce rinde 1 L;Zuko;Zuko;280.0;280.0;;;;;0.7151;1.0;0.7863
11371;21184;jumbo;unimarc;Lavaloza Quix Ultra Concentrado 500 ml;Lavaloza Quix ultra concentrado 500 ml;Quix;Quix;2690.0;2990.0;;;;;1.0;1.0;1.0
11423;21184;jumbo;unimarc;Lavaloza Quix Ultra Concentrado 500 ml;Lavaloza Quix ultra concentrado 500 ml;Quix;Quix;2690.0;2990.0;;;;;1.0;1.0;1.0
