group_id;supermarket;name;brand;category_std;unit;unit_family;net_content;size_std;price;price_num;detail_url
14670;unimarc;Crema Whisky Baileys 750 cc;Baileys;;litro;;1 un;;16990;16990.0;https://www.unimarc.cl/crema-whisky-baileys-750-cc-bot/p
9686;unimarc;Whisky Johnnie Walker blue label 750 ml;Johnnie Walker;;litro;;1 un;;315990;315990.0;https://www.unimarc.cl/whisky-e-azul-j-walker-750cc-bot/p
9711;unimarc;Whisky Chivas Regal 12 años 1 L;Chivas Regal;;litro;;1 un;;32990;32990.0;https://www.unimarc.cl/whisky-12a-ch-regal-1-lt-bot/p
9690;unimarc;Whisky Johnnie Walker red label 750 cc;Johnnie Walker;;litro;;1 un;;12290;12290.0;https://www.unimarc.cl/whisky-johnnie-walker-et-roja-750-ml/p
9715;unimarc;Whisky Chivas Regal 18 años 750 cc;Chivas Regal;;litro;;1 un;;82490;82490.0;https://www.unimarc.cl/whisky-18a-ch-regal-750-cc-bot/p
14671;unimarc;Whisky Glenfiddich malt botella 750 cc;Glenfiddich;;litro;;1 un;;43190;43190.0;https://www.unimarc.cl/whisky-malt-glenfiddich-750ccbot/p
9701;unimarc;Whisky Johnnie Walker double black 750 cc;Johnnie Walker;;litro;;1 un;;41990;41990.0;https://www.unimarc.cl/whisky-d-black-jwalker-750cc-bot/p
9564;unimarc;Whisky Johnnie Walker black label 750 ml;Johnnie Walker;;litro;;1 un;;27990;27990.0;https://www.unimarc.cl/whisky-johnnie-walker-et-negra-12-anos-750-ml/p
14672;unimarc;Whisky Jack Daniel's old N°7 1 L;Jack Daniels;;litro;;1 un;;35990;35990.0;https://www.unimarc.cl/whisky-old-7-jack-daniels-1-lt-bot/p
14673;unimarc;Whisky Jack Daniel's apple botella 750 cc;Jack Daniels;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/whisky-apple-jack-daniels-750-cc-bot/p
14674;unimarc;Whisky Johnnie Walker etiqueta negra 1 L;Johnnie Walker;;litro;;1 un;;41990;41990.0;https://www.unimarc.cl/whisky-e-neg-j-walker-1lt-bot/p
14675;unimarc;Whisky Jack Daniel's old N°7  750 cc;Jack Daniels;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/whisky-40-750-cc/p
14676;unimarc;Whisky Ballantine´s finest 1 L;Ballantines;;litro;;1 un;;13490;13490.0;https://www.unimarc.cl/whisky-finest-ballantines-1lt-bot/p
14677;unimarc;Whisky Old Parr 12 años 750 cc;Old Parr;;litro;;1 un;;23490;23490.0;https://www.unimarc.cl/whisky-old-parr-750-cc-bot/p
14678;unimarc;Whisky Sandy Mac 1 L;Sandy Mac;;litro;;1 un;;10490;10490.0;https://www.unimarc.cl/whisky-sandy-mac-1-lt-bot/p
14679;unimarc;Whisky Jack Daniel's honey 750 cc;Jack Daniels;;litro;;1 un;;30990;30990.0;https://www.unimarc.cl/whisky-honey-jack-daniels-750-cc-bot/p
