cba_name;formato_objetivo;supermarket;sku;name;brand;price_num;list_price_num;fallback_price_num;discount_price_num;unit;net_content;unit_family;size_std;price_per_unit_web;price_per_unit_list_web;price_per_std_unit_calc;category_std;subcategory;last_category;premium_score;detail_url
Leche líquida entera;1 litro premium;lider;dom_1;Leche Natural Entera caja, 1 L;;990.0;990.0;990.0;;;;volume;1000.0;;;0.99;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00040000720074
Leche líquida entera;1 litro premium;lider;dom_4;Leche Entera Natural 1 l, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780290000130
Leche líquida entera;1 litro premium;lider;dom_9;Leche Entera, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780461747028
Leche líquida entera;1 litro premium;lider;dom_10;Leche Natural Entera Lonco Leche, 1 L;;1090.0;1090.0;1090.0;;;;volume;1000.0;;;1.09;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780291000725
Leche líquida entera;1 litro premium;lider;dom_5;Leche Entera Natural Caja 1 l, 1 L;;1350.0;1350.0;100.0;;;;volume;1000.0;;;1.35;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780292077754
Leche líquida entera;1 litro premium;lider;dom_14;Leche Natural Entera Cremosa, 1 L;;1490.0;1490.0;124.0;;;;volume;1000.0;;;1.49;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780290000263
Leche líquida entera;1 litro premium;lider;dom_19;Leche Entera Proteína A2, 1 L;;2750.0;2750.0;2750.0;;;;volume;1000.0;;;2.75;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780292001064
Leche líquida entera;1 litro premium;lider;dom_22;Leche de Vacas Libres a Pastoreo Entera, 1 L;;2990.0;2990.0;2990.0;;;;volume;1000.0;;;2.99;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780464445049
Leche líquida entera;1 litro premium;lider;dom_21;Leche Entera A2, 1 L;;3490.0;3490.0;3490.0;;;;volume;1000.0;;;3.49;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780464445119
Leche líquida entera;1 litro premium;lider;dom_23;Leche Entera De Cabra Libre Pastoreo, 1 L;;4890.0;4890.0;4890.0;;;;volume;1000.0;;;4.89;;Leche > Blanca;;11.5;https://super.lider.cl/ip/leche/00780464445050
Leche líquida entera;1 litro premium;unimarc;2974;Leche entera natural con tapa Soprole 1 L Leche entera natural Soprole 1 L;Soprole;1150.0;1150.0;1100.0;11000.0;litro;1 un;volume;1000.0;;;1.15;;Leches y cremas;Leches blancas;17.0;https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-2/p
Leche líquida entera;1 litro premium;unimarc;5265;Pack Leche entera natural Soprole 12 un de 1 L;Soprole;13800.0;13800.0;13800.0;;litro;1 un;volume;1000.0;;;13.8;;Leches y cremas;Leches blancas;17.0;https://www.unimarc.cl/leche-entera-natural-soprole-con-tapa-1-l-caja-12-un/p
Leche líquida entera;1 litro premium;unimarc;82635;Leche entera Los Peumos 1 L;Los Peumos;1050.0;1050.0;950.0;9500.0;litro;1 un;volume;1000.0;;;1.05;;Leches y cremas;Leches blancas;13.0;https://www.unimarc.cl/leche-entera-tetra-los-peumos-1lt/p
Leche líquida entera;1 litro premium;unimarc;80863;Leche de vaca libre Ecoterra entera 1 L;Ecoterra;3190.0;3190.0;3190.0;;litro;1 un;volume;1000.0;;;3.19;;Leches y cremas;Leches blancas;13.0;https://www.unimarc.cl/leche-entera-ecoterra-1-lt/p
